location,BHK,total_sqmeter,bath,price
Green Glen Layout,3,159.33,3,1330746.0
Green Glen Layout,3,150.81,2,1164402.75
Green Glen Layout,3,159.33,3,1275298.25
Green Glen Layout,3,159.33,3,1164402.75
Green Glen Layout,3,148.64,3,1164402.75
Green Glen Layout,3,159.51,3,1386193.75
Green Glen Layout,2,116.13,2,831716.25
Green Glen Layout,3,159.33,3,1242029.6
Gubbalala,3,136.57,2,909343.1
Gubbalala,3,162.11,3,1153313.2
Gubbalala,3,162.11,3,1275298.25
Gubbalala,3,162.11,3,1219850.5
Gubbalala,3,153.29,3,787358.05
Gubbalala,5,238.76,4,1563626.55
Gubbalala,2,111.95,2,776268.5
Gubbalala,3,133.31,2,887164.0
Gubbalala,2,137.03,2,887164.0
Gubbalala,4,185.8,4,942611.75
Gubbalala,2,102.19,2,548932.72
Gubbalala,2,98.48,2,510119.3
Gubbalala,3,185.8,3,1386193.75
Gubbalala,4,371.61,5,2162462.25
Gunjur,2,105.91,2,476850.65
Gunjur,3,125.98,2,731910.3
Gunjur,3,148.64,3,831716.25
Gunjur,4,185.8,3,1053507.25
Gunjur,2,105.91,2,544607.8
Gunjur,2,111.02,2,487940.2
Gunjur,2,110.55,2,443582.0
Gunjur,2,135.36,2,665373.0
Gunjur,2,100.33,2,454671.55
Gunjur,3,198.07,3,887164.0
Gunjur,3,167.22,3,776268.5
Gunjur,2,109.16,2,482173.63
Gunjur,3,126.53,3,694538.52
Gunjur,2,99.5,2,565567.05
Gunjur,2,98.76,2,443582.0
Gunjur,2,114.73,2,585084.66
Gunjur,3,126.53,3,694538.52
Gunjur,3,126.53,3,694538.52
Gunjur,3,147.53,2,998059.5
Gunjur,2,114.73,2,493484.97
Gunjur,2,135.36,2,665373.0
HAL 2nd Stage,3,138.42,2,3326865.0
HAL 2nd Stage,2,55.74,3,1607984.75
HAL 2nd Stage,3,250.84,3,5544775.0
HAL 2nd Stage,5,189.52,4,5544775.0
HBR Layout,3,260.13,2,2217910.0
HBR Layout,3,159.98,3,1053507.25
HBR Layout,4,111.48,4,1330746.0
HBR Layout,2,111.48,2,665373.0
HBR Layout,2,93.27,2,543387.95
HBR Layout,3,165.64,3,1386193.75
HBR Layout,3,153.85,3,998059.5
HBR Layout,2,101.17,2,665373.0
HBR Layout,3,157.93,3,1219850.5
HBR Layout,2,111.3,2,720820.75
HBR Layout,4,111.48,4,1275298.25
HBR Layout,2,111.48,2,1330746.0
HBR Layout,3,170.2,3,1774328.0
HRBR Layout,2,127.65,2,1053507.25
HRBR Layout,2,133.78,2,1086775.9
HRBR Layout,3,145.58,3,998059.5
HRBR Layout,3,260.13,3,2772387.5
HRBR Layout,2,112.41,2,831716.25
HRBR Layout,2,117.52,2,864984.9
HRBR Layout,2,108.7,2,831716.25
HRBR Layout,3,124.02,2,964790.85
HRBR Layout,4,176.51,3,998059.5
HRBR Layout,3,150.97,3,1330746.0
HRBR Layout,2,120.87,2,1330746.0
HRBR Layout,2,106.37,2,759634.17
HRBR Layout,2,120.77,2,998059.5
HSR Layout,3,130.06,3,621014.8
HSR Layout,2,127.46,2,754089.4
HSR Layout,3,132.85,2,720820.75
HSR Layout,3,137.03,3,831716.25
HSR Layout,2,136.29,2,609925.25
HSR Layout,2,105.91,2,510119.3
HSR Layout,2,127.46,2,676462.55
HSR Layout,3,162.58,3,1053507.25
HSR Layout,3,225.2,3,998059.5
HSR Layout,2,95.41,2,487940.2
HSR Layout,3,153.29,3,1219850.5
HSR Layout,2,105.91,2,510119.3
HSR Layout,2,127.46,2,676462.55
HSR Layout,2,105.91,2,510119.3
HSR Layout,2,110.09,2,665373.0
HSR Layout,2,104.7,2,754089.4
HSR Layout,3,148.64,2,1275298.25
HSR Layout,2,106.37,2,532298.4
HSR Layout,2,93.74,2,621014.8
HSR Layout,2,120.77,2,1086775.9
HSR Layout,3,222.97,3,975880.4
HSR Layout,2,105.91,2,510119.3
HSR Layout,2,104.61,2,765178.95
HSR Layout,3,126.35,2,587746.15
HSR Layout,2,105.91,2,510119.3
HSR Layout,2,106.37,2,510119.3
HSR Layout,2,106.09,2,720820.75
HSR Layout,2,106.37,2,510119.3
HSR Layout,3,171.31,3,1053507.25
HSR Layout,2,111.76,2,798447.6
HSR Layout,2,105.91,2,510119.3
HSR Layout,5,390.19,5,2716939.75
HSR Layout,2,105.91,2,510119.3
HSR Layout,2,106.37,2,510119.3
HSR Layout,2,93.74,2,621014.8
HSR Layout,2,106.37,2,510119.3
HSR Layout,2,102.19,2,487940.2
HSR Layout,2,111.76,2,665373.0
HSR Layout,2,104.05,2,776268.5
HSR Layout,2,105.91,2,510119.3
HSR Layout,2,119.75,2,776268.5
HSR Layout,3,171.31,3,986969.95
HSR Layout,2,111.76,2,665373.0
HSR Layout,2,105.91,2,510119.3
Haralur Road,2,115.2,2,776268.5
Haralur Road,2,95.41,2,487940.2
Haralur Road,3,136.01,3,621014.8
Haralur Road,4,246.19,4,2195730.9
Haralur Road,4,260.59,5,1707790.7
Haralur Road,2,110.93,2,521208.85
Haralur Road,2,111.67,2,587746.15
Haralur Road,2,98.1,2,676462.55
Haralur Road,3,136.01,3,621014.8
Haralur Road,3,168.15,3,1108955.0
Haralur Road,2,110.93,2,510119.3
Haralur Road,4,260.59,4,1707790.7
Haralur Road,2,113.81,2,747213.88
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,95.41,2,487940.2
Haralur Road,3,178.37,3,1275298.25
Haralur Road,3,174.19,3,1219850.5
Haralur Road,2,110.93,2,521208.85
Haralur Road,2,105.91,2,476850.65
Haralur Road,2,95.41,2,487940.2
Haralur Road,2,110.93,2,510119.3
Haralur Road,3,187.38,3,1386193.75
Haralur Road,2,105.91,2,476850.65
Haralur Road,3,174.19,3,1219850.5
Haralur Road,2,101.45,2,487940.2
Haralur Road,3,229.93,4,1441641.5
Haralur Road,2,120.77,2,809537.15
Haralur Road,2,110.93,2,521208.85
Haralur Road,2,115.48,2,510119.3
Haralur Road,3,171.87,3,1219850.5
Haralur Road,2,113.81,2,747213.88
Haralur Road,2,115.48,2,510119.3
Haralur Road,4,315.87,5,2661492.0
Haralur Road,2,136.01,2,621014.8
Haralur Road,2,114.27,2,864984.9
Haralur Road,2,92.9,2,487940.2
Haralur Road,2,120.77,2,876074.45
Haralur Road,3,134.15,2,887164.0
Haralur Road,2,101.08,2,754089.4
Haralur Road,2,95.41,2,487940.2
Haralur Road,3,136.01,3,621014.8
Haralur Road,2,113.81,2,776268.5
Haralur Road,3,136.01,3,621014.8
Haralur Road,2,110.93,2,510119.3
Haralur Road,3,170.01,3,1120044.55
Haralur Road,3,168.15,3,1397283.3
Haralur Road,2,136.01,2,621014.8
Haralur Road,3,141.21,2,1064596.8
Haralur Road,2,120.77,2,831716.25
Haralur Road,3,187.38,2,1386193.75
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,95.41,2,487940.2
Haralur Road,4,260.59,5,1774328.0
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,95.41,2,487940.2
Haralur Road,3,187.38,3,1164402.75
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,115.48,2,510119.3
Haralur Road,3,141.21,2,998059.5
Haralur Road,2,120.77,2,665373.0
Haralur Road,3,184.41,3,1441641.5
Haralur Road,3,116.59,2,998059.5
Haralur Road,2,98.1,2,665373.0
Haralur Road,2,105.91,2,465761.1
Haralur Road,2,115.66,2,687552.1
Haralur Road,2,105.91,2,643193.9
Haralur Road,2,105.91,2,465761.1
Haralur Road,2,95.41,2,476850.65
Haralur Road,2,110.93,2,521208.85
Haralur Road,2,110.93,2,521208.85
Haralur Road,3,144.93,3,998059.5
Haralur Road,3,141.21,2,942611.75
Haralur Road,2,115.48,2,499029.75
Haralur Road,2,95.41,2,487940.2
Haralur Road,2,110.93,2,510119.3
Haralur Road,3,153.29,3,1108955.0
Haralur Road,3,146.79,3,809537.15
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,110.93,2,521208.85
Haralur Road,4,260.59,4,1707790.7
Haralur Road,3,141.21,2,1064596.8
Haralur Road,3,140.28,3,920987.13
Haralur Road,2,98.1,2,720820.75
Haralur Road,3,168.15,3,1108955.0
Haralur Road,2,115.48,2,510119.3
Haralur Road,1,53.42,1,421402.9
Haralur Road,2,110.93,2,510119.3
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,110.93,2,510119.3
Haralur Road,2,105.91,2,476850.65
Haralur Road,3,171.87,3,1330746.0
Haralur Road,2,110.93,2,521208.85
Haralur Road,2,110.93,2,521208.85
Haralur Road,3,136.01,3,621014.8
Haralur Road,2,115.48,2,510119.3
Haralur Road,3,158.86,3,942611.75
Haralur Road,3,160.72,3,1053507.25
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,115.48,2,510119.3
Haralur Road,3,168.8,3,1219850.5
Haralur Road,2,113.81,2,853895.35
Haralur Road,2,119.38,2,864984.9
Haralur Road,2,113.81,2,748322.83
Haralur Road,2,113.81,2,774494.17
Haralur Road,2,111.48,2,510119.3
Haralur Road,2,122.17,2,942611.75
Haralur Road,3,183.57,3,1020238.6
Haralur Road,2,120.77,2,831716.25
Haralur Road,2,121.61,2,909343.1
Haralur Road,2,95.41,1,487940.2
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,115.48,2,510119.3
Haralur Road,2,105.91,2,476850.65
Haralur Road,2,120.77,2,831716.25
Haralur Road,2,115.48,2,510119.3
Haralur Road,3,175.59,3,931522.2
Haralur Road,2,114.27,2,750208.06
Haralur Road,2,110.93,2,510119.3
Haralur Road,2,101.45,2,487940.2
Haralur Road,3,136.01,3,621014.8
Haralur Road,3,116.59,3,998059.5
Haralur Road,3,161.19,3,1075686.35
Haralur Road,3,168.15,3,1084890.68
Haralur Road,2,111.48,2,510119.3
Haralur Road,2,115.48,2,510119.3
Haralur Road,3,168.15,3,1242029.6
Harlur,2,140.1,2,853895.35
Harlur,3,162.78,3,1497089.25
Harlur,3,227.61,3,1330746.0
Harlur,3,135.64,3,809537.15
Harlur,3,158.77,3,1663432.5
Harlur,2,109.07,2,765178.95
Harlur,2,95.97,2,543387.95
Harlur,2,111.2,2,931522.2
Harlur,3,163.23,3,1463820.6
Harlur,2,109.07,2,842805.8
Harlur,3,162.95,3,1386193.75
Harlur,2,119.84,2,942611.75
Harlur,3,162.78,3,1286387.8
Harlur,3,162.95,3,1497089.25
Harlur,3,162.95,3,1375104.2
Harlur,2,107.02,2,765178.95
Harlur,2,119.84,2,964790.85
Harlur,3,162.49,3,1275298.25
Harlur,4,314.47,4,2883283.0
Harlur,3,163.32,3,1474910.15
Harlur,4,175.03,4,1330746.0
Harlur,2,111.2,2,876074.45
Harlur,2,109.07,2,864984.9
Harlur,3,160.72,3,1108955.0
Harlur,3,198.63,3,1219850.5
Harlur,2,111.48,2,576656.6
Harlur,2,111.2,2,876074.45
Harlur,3,162.49,3,1242029.6
Harlur,2,109.07,2,831716.25
Harlur,3,162.58,3,1508178.8
Harlur,3,150.5,3,1219850.5
Harlur,3,131.36,3,859440.12
Harlur,3,151.43,3,1054616.2
Harlur,3,163.69,3,1474910.15
Harlur,3,163.14,3,1452731.05
Harlur,3,163.04,3,1441641.5
Harlur,3,173.17,3,1552537.0
Harlur,2,123.65,2,975880.4
Harlur,3,162.78,3,1474910.15
Harlur,2,105.26,2,609925.25
Harlur,3,163.14,3,1419462.4
Harlur,3,162.49,3,1330746.0
Harlur,2,111.2,2,909343.1
Harlur,2,121.05,2,998059.5
Harlur,3,162.95,3,1463820.6
Harlur,2,109.07,2,831716.25
Harlur,3,163.14,3,1485999.7
Harlur,2,111.2,2,864984.9
Harlur,2,119.84,2,996950.55
Harlur,2,128.76,2,942611.75
Harlur,2,109.07,2,820626.7
Harlur,2,109.07,2,864984.9
Harlur,3,158.86,3,942611.75
Harlur,3,163.04,3,1275298.25
Harlur,4,261.98,4,1702245.92
Harlur,4,238.67,4,1940671.25
Harlur,3,158.86,3,942611.75
Harlur,2,111.2,2,853895.35
Harlur,3,162.78,3,1386193.75
Harlur,4,238.67,5,1996119.0
Harlur,2,113.81,2,621014.8
Harlur,2,111.2,2,842805.8
Harlur,3,198.53,3,1219850.5
Harlur,2,111.2,2,831716.25
Harlur,3,163.04,3,1297477.35
Harlur,2,111.2,2,886055.05
Harlur,2,86.96,2,499029.75
Harlur,4,277.78,4,2495148.75
Harlur,2,127.28,2,975880.4
Harlur,2,124.02,2,806875.66
Hebbal,3,163.51,2,1364014.65
Hebbal,4,521.32,4,5289715.35
Hebbal,3,176.51,3,1319656.45
Hebbal,2,125.33,2,1088993.81
Hebbal,4,230.68,5,2350984.6
Hebbal,3,163.51,2,1441641.5
Hebbal,3,178.37,3,1485999.7
Hebbal,2,124.21,2,909343.1
Hebbal,2,125.33,2,1086775.9
Hebbal,3,116.59,2,861436.24
Hebbal,3,125.88,3,930080.56
Hebbal,3,166.3,3,1408372.85
Hebbal,2,63.85,2,473745.58
Hebbal,4,259.2,5,2195730.9
Hebbal,3,184.41,4,2095924.95
Hebbal,4,230.68,5,2384253.25
Hebbal,2,100.33,2,598835.7
Hebbal,2,75.44,2,609925.25
Hebbal,4,259.2,4,2195730.9
Hebbal,2,99.87,2,576656.6
Hebbal,4,284.93,4,2550596.5
Hebbal,3,234.67,2,2772387.5
Hebbal,4,284.93,4,2550596.5
Hebbal,3,116.59,2,861436.24
Hebbal,2,76.46,2,561463.92
Hebbal,2,131.92,2,1364014.65
Hebbal,3,99.31,3,725256.57
Hebbal,2,131.92,2,1102190.37
Hebbal,4,393.44,4,4047685.75
Hebbal,3,157.93,3,1375104.2
Hebbal,4,367.89,5,4280566.3
Hebbal,3,144.0,2,831716.25
Hebbal,2,131.92,2,1102190.37
Hebbal,3,125.88,3,930080.56
Hebbal,2,133.78,2,1275298.25
Hebbal,2,102.19,2,598835.7
Hebbal,3,125.88,3,930080.56
Hebbal,3,222.97,4,1996119.0
Hebbal,3,116.59,2,861436.24
Hebbal,2,131.92,2,1186581.85
Hebbal,2,122.63,2,1020238.6
Hebbal,2,85.38,2,543387.95
Hebbal,3,152.82,3,1497089.25
Hebbal,3,193.24,3,1940671.25
Hebbal,3,125.88,3,930080.56
Hebbal,4,230.68,5,2550596.5
Hebbal,3,241.55,3,2162462.25
Hebbal,3,152.82,3,1297477.35
Hebbal,2,116.22,2,983975.77
Hebbal,3,152.82,3,1341835.55
Hebbal,3,163.51,3,1364014.65
Hebbal,4,259.2,4,2195730.9
Hebbal,4,367.89,5,4280566.3
Hebbal,3,152.82,3,1330746.0
Hebbal,3,116.59,2,998059.5
Hebbal,3,152.82,3,1297477.35
Hebbal,3,116.59,3,861436.24
Hebbal,3,147.34,3,998059.5
Hebbal,3,151.99,3,1319656.45
Hebbal,3,116.59,2,1053507.25
Hebbal,4,259.2,4,2195730.9
Hebbal,3,117.89,2,809537.15
Hebbal,3,116.59,2,1053507.25
Hebbal,2,101.08,2,681452.85
Hebbal,2,125.33,2,1084557.99
Hebbal,3,116.59,3,861436.24
Hebbal,2,124.86,2,1197671.4
Hebbal,3,116.59,2,998059.5
Hebbal,3,116.59,3,861436.24
Hebbal,2,105.72,2,1219850.5
Hebbal,4,259.2,5,2262268.2
Hebbal,2,101.08,2,687552.1
Hebbal,3,184.6,4,1829775.75
Hebbal,4,259.2,5,2195730.9
Hebbal,2,120.68,2,1108955.0
Hebbal,2,111.48,2,665373.0
Hebbal,3,152.82,3,1297477.35
Hebbal,2,129.13,2,1053507.25
Hebbal,2,123.84,2,1108955.0
Hebbal,3,125.88,3,930080.56
Hebbal,3,246.19,4,2206820.45
Hebbal,3,167.22,3,1552537.0
Hebbal,3,172.8,3,1053507.25
Hebbal,4,229.47,4,2251178.65
Hebbal,3,116.59,2,1053507.25
Hebbal,2,123.84,2,1153313.2
Hebbal,3,152.82,3,1297477.35
Hebbal,3,241.55,3,2206820.45
Hebbal,2,124.95,2,1075686.35
Hebbal,3,103.12,3,654283.45
Hebbal,2,91.51,2,687552.1
Hebbal,2,122.63,2,1009149.05
Hebbal,3,221.85,3,2162462.25
Hebbal,2,96.62,2,609925.25
Hebbal,3,122.17,3,720820.75
Hebbal,3,241.55,3,2162462.25
Hebbal,2,99.87,2,576656.6
Hebbal,4,244.33,5,2084835.4
Hebbal,4,259.2,5,2195730.9
Hebbal,3,152.82,3,1253119.15
Hebbal,3,125.88,3,930080.56
Hebbal,2,131.92,2,1102190.37
Hebbal,3,147.71,3,1064596.8
Hebbal,2,107.95,2,765178.95
Hebbal,2,102.19,2,665373.0
Hebbal,4,393.44,5,4036596.2
Hebbal,2,120.68,2,1075686.35
Hebbal,3,116.59,3,861436.24
Hebbal,4,229.47,5,2129193.6
Hebbal,3,152.82,3,1297477.35
Hebbal,3,178.37,3,1485999.7
Hebbal,3,178.37,3,1663432.5
Hebbal,4,220.64,4,2095924.95
Hebbal,2,131.92,2,1100748.73
Hebbal,2,116.31,2,1020238.6
Hebbal,4,259.2,4,2195730.9
Hebbal,2,107.95,2,654283.45
Hebbal,2,120.22,2,1275298.25
Hebbal,2,106.84,2,632104.35
Hebbal,3,161.65,2,1519268.35
Hebbal,3,132.85,3,942611.75
Hebbal,3,154.4,3,1718880.25
Hebbal,3,209.03,3,2428611.45
Hebbal,2,125.33,2,1086775.9
Hebbal,2,125.33,2,1073468.44
Hebbal Kempapura,3,157.93,3,1718880.25
Hebbal Kempapura,3,167.22,3,1940671.25
Hebbal Kempapura,3,269.42,4,3326865.0
Hebbal Kempapura,3,327.2,3,4214029.0
Hebbal Kempapura,5,211.82,5,2217910.0
Hebbal Kempapura,2,111.48,2,1386193.75
Hebbal Kempapura,3,269.42,4,2661492.0
Hebbal Kempapura,4,362.32,5,3992238.0
Hebbal Kempapura,2,120.77,2,1131134.1
Hebbal Kempapura,3,136.19,2,1552537.0
Hebbal Kempapura,4,362.32,5,3437760.5
Hebbal Kempapura,3,160.26,2,1829775.75
Hebbal Kempapura,3,111.48,3,1386193.75
Hebbal Kempapura,3,316.61,3,2883283.0
Hebbal Kempapura,2,137.96,3,1463820.6
Hebbal Kempapura,2,130.06,2,1197671.4
Hebbal Kempapura,3,167.22,3,1663432.5
Hebbal Kempapura,5,222.97,5,2217910.0
Hebbal Kempapura,5,260.13,5,2439701.0
Hebbal Kempapura,3,165.83,3,1829775.75
Hebbal Kempapura,4,346.43,4,4258387.2
Hebbal Kempapura,3,148.64,3,1885223.5
Hebbal Kempapura,3,160.72,3,1940671.25
Hebbal Kempapura,4,230.86,4,2195730.9
Hegde Nagar,3,145.76,3,1120044.55
Hegde Nagar,6,278.71,7,2328805.5
Hegde Nagar,3,188.22,3,1463820.6
Hegde Nagar,3,167.32,3,1275298.25
Hegde Nagar,2,97.55,1,621014.8
Hegde Nagar,2,124.58,2,1075686.35
Hegde Nagar,3,196.3,4,1607984.75
Hegde Nagar,4,111.48,4,920432.65
Hegde Nagar,3,158.21,3,1253119.15
Hegde Nagar,3,145.86,3,1164402.75
Hegde Nagar,3,167.32,3,1552537.0
Hegde Nagar,3,147.16,3,1142223.65
Hegde Nagar,3,182.55,4,1386193.75
Hegde Nagar,2,111.48,2,831716.25
Hegde Nagar,3,171.59,3,1497089.25
Hegde Nagar,3,182.55,4,1463820.6
Hegde Nagar,3,158.21,3,1386193.75
Hegde Nagar,3,171.59,3,1386193.75
Hegde Nagar,3,199.24,4,1607984.75
Hegde Nagar,3,159.61,3,1319656.45
Hegde Nagar,3,171.59,3,1364014.65
Hegde Nagar,2,124.49,2,798447.6
Hegde Nagar,3,193.89,3,1275298.25
Hegde Nagar,3,158.21,3,1441641.5
Hegde Nagar,3,193.89,4,1497089.25
Hegde Nagar,3,159.61,3,1441641.5
Hegde Nagar,3,175.03,4,1308566.9
Hegde Nagar,3,179.3,4,1352925.1
Hegde Nagar,3,147.16,3,1153313.2
Hegde Nagar,3,108.51,2,754089.4
Hegde Nagar,3,200.86,4,1430551.95
Hegde Nagar,3,193.89,4,1774328.0
Hegde Nagar,2,92.9,2,731910.3
Hegde Nagar,3,125.23,2,892708.77
Hennur,2,99.87,2,576656.6
Hennur,2,116.59,2,580205.26
Hennur,2,113.81,2,632104.35
Hennur,2,116.59,2,637649.12
Hennur,2,116.96,2,632104.35
Hennur,2,116.59,2,593290.92
Hennur,2,119.38,2,665373.0
Hennur,2,119.38,2,665373.0
Hennur,2,102.19,2,665373.0
Hennur,2,114.36,2,532298.4
Hennur,2,116.59,2,643193.9
Hennur,2,96.62,2,467091.85
Hennur,2,116.59,2,604380.47
Hennur,2,96.71,2,450235.73
Hennur,3,124.49,3,601497.19
Hennur,2,116.59,2,615470.02
Hennur,3,117.06,2,576656.6
Hennur,2,114.36,2,554477.5
Hennur,5,232.26,5,1386193.75
Hennur,2,107.77,2,543387.95
Hennur,3,222.97,3,1497089.25
Hennur,2,116.59,2,593290.92
Hennur,2,116.59,2,615470.02
Hennur,2,102.19,2,494039.45
Hennur,2,116.59,2,637649.12
Hennur,2,89.19,2,532298.4
Hennur,2,94.76,2,532298.4
Hennur,2,116.59,2,580205.26
Hennur,2,120.31,2,709731.2
Hennur,3,179.77,3,1131134.1
Hennur,3,153.75,2,781813.27
Hennur,3,124.95,2,765178.95
Hennur,2,116.59,2,643193.9
Hennur,2,131.92,2,687552.1
Hennur,2,107.3,2,604380.47
Hennur,2,116.59,2,580205.26
Hennur,2,116.59,2,580537.94
Hennur,3,124.49,2,601829.88
Hennur,2,116.59,2,604380.47
Hennur,3,170.01,2,1253119.15
Hennur,3,170.06,3,933795.56
Hennur,2,116.59,2,615470.02
Hennur,2,116.59,2,594067.19
Hennur,2,116.59,2,626559.57
Hennur,2,97.55,2,473856.47
Hennur,2,120.31,2,687552.1
Hennur Road,3,194.07,3,1552537.0
Hennur Road,8,464.51,8,2772387.5
Hennur Road,2,128.67,2,921430.71
Hennur Road,2,122.4,2,707180.6
Hennur Road,3,139.35,2,687552.1
Hennur Road,3,210.33,3,1763238.45
Hennur Road,2,107.49,2,931522.2
Hennur Road,3,176.89,3,1330746.0
Hennur Road,3,175.68,3,1208760.95
Hennur Road,3,145.02,3,1053507.25
Hennur Road,3,110.74,2,665373.0
Hennur Road,3,191.38,3,1652342.95
Hennur Road,3,137.68,2,1020238.6
Hennur Road,2,114.46,2,986969.95
Hennur Road,2,98.94,2,472414.83
Hennur Road,3,137.68,2,928528.02
Hennur Road,3,137.68,2,964790.85
Hennur Road,3,175.68,3,1541447.45
Hennur Road,3,158.21,3,1120044.55
Hennur Road,2,114.46,2,771943.58
Hennur Road,2,91.69,2,543387.95
Hennur Road,3,167.6,3,1131134.1
Hennur Road,3,200.67,3,1774328.0
Hennur Road,3,110.18,2,698641.65
Hennur Road,3,156.08,3,1100859.63
Hennur Road,2,98.94,2,472414.83
Hennur Road,2,128.67,2,921430.71
Hennur Road,3,110.18,2,621014.8
Hennur Road,3,218.32,3,1929581.7
Hennur Road,3,147.34,3,1041752.33
Hennur Road,3,183.48,3,1364014.65
Hennur Road,3,119.84,2,1047962.47
Hennur Road,2,83.7,2,548932.72
Hennur Road,3,134.24,3,959911.45
Hennur Road,3,137.68,2,1075686.35
Hennur Road,2,109.81,2,914887.87
Hennur Road,3,110.74,2,687552.1
Hennur Road,2,96.25,2,659384.64
Hennur Road,3,175.68,3,1208760.95
Hennur Road,2,114.46,2,771943.58
Hennur Road,3,167.6,3,1131134.1
Hennur Road,3,215.53,3,1885223.5
Hennur Road,3,179.86,3,1308566.9
Hennur Road,2,137.5,2,720820.75
Hennur Road,3,147.71,3,1070141.57
Hennur Road,3,134.24,2,1164402.75
Hennur Road,2,96.25,2,659273.75
Hennur Road,3,170.2,3,1386193.75
Hennur Road,2,126.25,2,1153313.2
Hennur Road,2,124.58,2,840144.31
Hennur Road,2,96.62,2,554477.5
Hennur Road,3,156.54,3,1053507.25
Hennur Road,2,131.36,2,933518.32
Hennur Road,3,181.07,3,1474910.15
Hennur Road,2,114.46,2,986969.95
Hennur Road,3,116.13,2,863654.15
Hennur Road,4,232.44,4,1996119.0
Hennur Road,3,170.1,3,1219850.5
Hennur Road,2,114.46,2,964790.85
Hennur Road,2,114.46,2,820626.7
Hennur Road,2,114.46,2,731910.3
Hennur Road,2,124.58,2,1053507.25
Hennur Road,3,250.84,3,1663432.5
Hennur Road,2,114.46,2,975880.4
Hennur Road,3,219.71,4,1940671.25
Hennur Road,2,121.7,2,731910.3
Hennur Road,3,144.18,3,831716.25
Hennur Road,2,94.3,2,554477.5
Hennur Road,3,110.18,2,613584.8
Hennur Road,3,210.33,3,1863044.4
Hennur Road,3,185.99,3,1330746.0
Hennur Road,2,114.46,2,771832.68
Hennur Road,2,111.02,2,809537.15
Hennur Road,2,94.76,2,521208.85
Hennur Road,5,473.8,6,4158581.25
Hennur Road,2,98.57,2,609038.09
Hennur Road,3,147.25,2,887164.0
Hennur Road,2,94.76,2,499029.75
Hennur Road,3,189.61,3,1419462.4
Hennur Road,2,114.46,2,964790.85
Hennur Road,2,99.03,2,579207.2
Hennur Road,2,90.39,2,621014.8
Hennur Road,2,116.59,2,931522.2
Hennur Road,2,114.46,2,920432.65
Hennur Road,3,170.2,3,1286387.8
Hennur Road,3,190.45,3,1330746.0
Hennur Road,3,134.24,2,961353.09
Hennur Road,3,134.24,2,920432.65
Hennur Road,3,155.98,3,1051954.71
Hennur Road,3,137.68,2,764069.99
Hennur Road,3,153.66,3,1084557.99
Hennur Road,3,137.5,3,1108955.0
Hennur Road,3,134.71,3,982534.13
Hennur Road,2,107.3,2,767175.07
Hennur Road,2,97.83,2,587746.15
Hennur Road,2,111.02,2,654283.45
Hennur Road,3,176.89,3,1430551.95
Hennur Road,3,184.04,3,1485999.7
Hennur Road,2,107.3,2,767175.07
Hennur Road,4,185.8,4,998059.5
Hennur Road,3,147.71,3,1164402.75
Hennur Road,3,189.61,3,1530357.9
Hennur Road,3,102.19,2,864984.9
Hennur Road,4,174.66,4,1707790.7
Hennur Road,2,114.46,2,771943.58
Hennur Road,3,162.39,3,1142223.65
Hennur Road,2,135.64,2,890490.86
Hennur Road,3,145.86,3,842694.9
Hennur Road,3,179.58,3,1552537.0
Hennur Road,2,95.69,2,515664.07
Hennur Road,2,114.46,2,771943.58
Hennur Road,3,134.71,3,876074.45
Hennur Road,3,134.24,2,993180.1
Hennur Road,2,90.39,2,562683.77
Hennur Road,3,137.68,2,928528.02
Hennur Road,3,121.24,2,853895.35
Hennur Road,3,155.33,3,953701.3
Hennur Road,2,108.23,2,742999.85
Hennur Road,2,91.04,2,565567.05
Hennur Road,2,114.46,2,887164.0
Hennur Road,2,100.8,2,481286.47
Hennur Road,2,88.26,2,609925.25
Hennur Road,2,105.91,2,621014.8
Hennur Road,3,175.68,3,1219850.5
Hennur Road,3,161.19,3,864984.9
Hennur Road,3,136.57,2,831716.25
Hennur Road,2,108.23,2,576656.6
Hennur Road,2,134.71,2,887164.0
Hennur Road,2,107.3,2,767175.07
Hennur Road,3,179.86,3,1452731.05
Hoodi,2,91.51,2,742999.85
Hoodi,3,159.33,2,1053507.25
Hoodi,4,196.77,4,1230940.05
Hoodi,2,132.39,2,887164.0
Hoodi,2,131.92,2,831716.25
Hoodi,3,152.27,3,1219850.5
Hoodi,3,149.2,3,993069.2
Hoodi,3,152.27,3,1090324.56
Hoodi,4,194.17,4,1054616.2
Hoodi,3,134.24,3,720820.75
Hoodi,4,265.98,4,1552537.0
Hoodi,3,140.47,3,840255.2
Hoodi,2,95.32,2,675020.91
Hoodi,2,97.55,2,554477.5
Hoodi,2,130.06,2,864984.9
Hoodi,5,222.97,5,1774328.0
Hoodi,2,111.11,2,795564.32
Hoodi,3,144.28,3,921430.71
Hoodi,2,139.35,2,931522.2
Hoodi,2,98.01,2,639090.77
